"id","budburst","leafout","tx","chill","lo.ht","thick1","thick2","tough1","tough2","budset","shoots","roots","ht.final","mg.cm2","phenol","chlavg","ht.diff","meristem","ht.prebudset","chill1","chill2","species","dvr","tough","thick","tough.date","tough.age","reltough","ht.late","ht.date.new","bset","budsetdoy","gslength","rgr_prebudset","rgr_final","folin"
"ACESAC_114",59,73,0,1,22.6,0.091,0.096,0.39,0.33,2019-07-30,0.38614,0.21304,NA,0.0111,"-0.13","28.4",0.5,NA,22.1,0,0,"ACESAC",14,0.36,0.0935,176,153.4,2.34680573663625,-0.5,176,211,211,188.4,-0.485436893203883,NA,0.00475346204689064
"ACESAC_124",36,53,1,1,27.6,0.096,0.118,0.36,NA,2019-11-15,NA,NA,100.3,0.004,"-0.19","20.825",3.1,0,25.9,0,0,"ACESAC",17,0.36,0.107,176,148.4,2.42587601078167,-1.7,176,319,319,291.4,-1.38211382113821,24.9485243651338,0.00801409681096334
"ACESAC_134",43,53,0,1,22.1,0.122,0.143,0.25,NA,2019-11-15,NA,NA,NA,0.0046,"-0.18","21.5",1.3,0,20.3,0,0,"ACESAC",10,0.25,0.1325,176,153.9,1.62443144899285,-1.8,176,319,319,296.9,-1.46341463414634,NA,0.00747065768361789
"ACESAC_144",38,50,1,1,33.3,0.1,0.083,0.14,0.35,2019-11-19,NA,NA,NA,0.0051,"-0.07","22.125",1.2,0,31,0,0,"ACESAC",12,0.245,0.0915,176,142.7,1.71688857743518,-2.3,176,323,323,289.7,-1.82539682539682,NA,0.00149282728281795
"ACESAC_154",41,56,0,1,20.2,0.112,0.09,0.27,NA,2019-11-19,NA,NA,NA,0.0056,"-0.02","22.6",1.1,0,53.4,0,0,"ACESAC",15,0.27,0.101,176,155.8,1.73299101412067,33.2,176,323,323,302.8,27.6666666666667,NA,-0.0012243683539093
"ACESAC_164",41,59,1,1,36.3,0.098,0.097,0.27,0.28,2019-11-19,NA,NA,NA,0,"-0.06","19.475",0.5,0,25.1,0,0,"ACESAC",18,0.275,0.0975,176,139.7,1.96850393700787,-11.2,176,323,323,286.7,-9.57264957264957,NA,0.0009493881554725
"ACESAC_16",40,56,0,2,22.1,0.09,0.082,0.3,0.52,NA,NA,NA,NA,0.0127,"","29.925",3.7,0,66.3,1,0,"ACESAC",16,0.41,0.086,177,154.9,2.6468689477082,44.2,177,NA,NA,NA,36.5289256198347,NA,NA
"ACESAC_26",56,67,1,2,27.9,0.114,0.102,0.37,0.37,NA,NA,NA,NA,0.0059,"","23",2.2,0,65.1,1,0,"ACESAC",11,0.37,0.108,177,149.1,2.48155600268276,37.2,177,NA,NA,NA,33.8181818181818,NA,NA
"ACESAC_36",35,46,0,2,34.3,0.106,0.105,0.42,0.44,2019-11-15,NA,NA,NA,0.0091,"","26.4",2,0,80,1,0,"ACESAC",11,0.43,0.1055,177,142.7,3.01331464611072,45.7,177,319,319,284.7,34.8854961832061,NA,NA
"ACESAC_46",40,53,1,2,30.9,0.114,0.107,0.35,0.35,2019-07-30,NA,NA,33.9,0.0074,"","24.625",2.2,NA,33.9,1,0,"ACESAC",13,0.35,0.1105,177,146.1,2.39561943874059,3,177,211,211,180.1,2.41935483870968,1.66574125485841,NA
"ACESAC_56",43,56,0,2,30.9,0.098,0.08,0.38,0.24,2019-11-26,NA,NA,NA,0.0087,"","25.975",2,0,81.8,1,0,"ACESAC",13,0.31,0.089,177,146.1,2.12183436002738,50.9,177,330,330,299.1,42.0661157024793,NA,NA
"ACESAC_66",40,51,1,2,21,0.102,0.105,0.51,0.5,NA,NA,NA,NA,0.0088,"","26.025",3.2,0,59.8,1,0,"ACESAC",11,0.505,0.1035,177,156,3.23717948717949,38.8,177,NA,NA,NA,30.7936507936508,NA,NA
"ACESAC_76",32,49,0,2,17.8,0.107,0.099,0.31,0.33,2019-11-19,NA,NA,NA,0.0128,"","27.74285714",2.3,0,55.2,1,0,"ACESAC",17,0.32,0.103,177,159.2,2.01005025125628,37.4,177,323,323,305.2,29.21875,NA,NA
"ACESAC_86",49,63,1,2,29.5,0.095,0.092,0.16,0.22,NA,NA,NA,NA,0.0119,"","29.15",0.9,0,47.8,1,0,"ACESAC",14,0.19,0.0935,177,147.5,1.28813559322034,18.3,177,NA,NA,NA,16.0526315789474,NA,NA
"ACESAC_96",51,58,0,2,27.4,0.092,0.169,0.32,0.17,NA,NA,NA,NA,0.0075,"","24.725",2.5,0,39.7,1,0,"ACESAC",7,0.245,0.1305,177,149.6,1.63770053475936,12.3,177,NA,NA,NA,10.3361344537815,NA,NA
"ACESAC_106",40,49,1,2,24.7,0.107,0.127,0.14,NA,2019-11-19,NA,NA,NA,0.0037,"","20.45",1.8,0,22.5,1,0,"ACESAC",9,0.14,0.117,177,152.3,0.919238345370978,-2.2,177,323,323,298.3,-1.71875,NA,NA
"ACESAC_116",40,56,0,2,27.7,0.087,0.096,0.45,0.23,NA,NA,NA,NA,0.0109,"","28.175",1,0,60.5,1,0,"ACESAC",16,0.34,0.0915,177,149.3,2.27729403884796,32.8,177,NA,NA,NA,27.1074380165289,NA,NA
"ACESAC_126",43,60,1,2,27.7,0.088,0.086,0.36,0.33,2019-11-26,NA,NA,NA,0.0075,"","24.725",2.2,0,44.8,1,0,"ACESAC",17,0.345,0.087,177,149.3,2.31078365706631,17.1,177,330,330,302.3,14.6153846153846,NA,NA
"ACESAC_136",63,70,0,2,19.1,0.097,0.103,0.15,0.26,NA,NA,NA,NA,0.0054,"","22.45",0.1,0,52.7,1,0,"ACESAC",7,0.205,0.1,177,157.9,1.2982900569981,33.6,177,NA,NA,NA,31.4018691588785,NA,NA
"ACESAC_146",43,56,1,2,35.2,0.096,0.089,0.3,0.28,2019-08-21,NA,NA,32.5,0.0067,"","23.825",1.9,NA,32.1,1,0,"ACESAC",13,0.29,0.0925,177,141.8,2.04513399153738,-3.1,177,233,233,197.8,-2.56198347107438,-1.36501516683519,NA
"ACESAC_156",28,43,0,2,30.2,0.093,0.138,0.37,0.58,NA,NA,NA,NA,0.0042,"","21.05",-0.1,0,65,1,0,"ACESAC",15,0.475,0.1155,177,146.8,3.23569482288828,34.8,177,NA,NA,NA,25.9701492537313,NA,NA
"ACESAC_166",32,46,1,2,21.4,0.084,0.085,0.3,0.22,2019-11-26,NA,NA,NA,0.0039,"","20.7",1.5,0,52.5,1,0,"ACESAC",14,0.26,0.0845,177,155.6,1.67095115681234,31.1,177,330,330,308.6,23.7404580152672,NA,NA
"ACESAC_18",32,44,0,3,23.7,0.098,0.095,0.39,0.6,2019-11-15,NA,NA,72.3,0.0083,"","25.575",0,0,65.6,0,1,"ACESAC",12,0.495,0.0965,163,139.3,3.55348169418521,41.9,142,319,298,274.3,42.7551020408163,17.7178271965002,NA
"ACESAC_28",39,49,1,3,29.4,0.098,0.105,0.46,0.34,2019-11-15,NA,NA,84.2,0.0061,"","23.175",3.6,0,69.8,0,1,"ACESAC",10,0.4,0.1015,163,133.6,2.9940119760479,40.4,142,319,298,268.6,43.4408602150538,20.4020848845867,NA
"ACESAC_38",29,42,0,3,28.8,0.093,0.125,0.4,0.58,2019-11-26,NA,NA,NA,0.0102,"","27.425",2.2,0,72.1,0,1,"ACESAC",13,0.49,0.109,163,134.2,3.65126676602086,43.3,142,330,309,280.2,43.3,NA,NA
"ACESAC_48",35,49,1,3,16.8,0.09,0.118,0.29,0.34,2019-11-15,NA,NA,NA,0.0088,"","26.075",1.9,1,54.8,0,1,"ACESAC",14,0.315,0.104,163,146.2,2.15458276333789,38,142,319,298,281.2,40.8602150537634,NA,NA
"ACESAC_58",49,56,0,3,28.8,0.098,0.129,0.2,0.32,2019-11-26,NA,NA,NA,0.0151,"","32.225",1.8,0,60.9,0,1,"ACESAC",7,0.26,0.1135,163,134.2,1.93740685543964,32.1,142,330,309,280.2,37.3255813953488,NA,NA
"ACESAC_68",29,44,1,3,34.8,0.101,0.105,0.27,0.34,2019-11-19,NA,NA,NA,0.0059,"","22.975",2,0,78.2,0,1,"ACESAC",15,0.305,0.103,163,128.2,2.37909516380655,43.4,142,323,302,267.2,44.2857142857143,NA,NA
"ACESAC_78",44,53,0,3,20.8,0.104,0.109,0.36,0.19,2019-11-15,NA,NA,111,0.0094,"","26.7",-0.1,0,56.9,0,1,"ACESAC",9,0.275,0.1065,163,142.2,1.93389592123769,36.1,142,319,298,277.2,40.561797752809,32.5396825396825,NA
"ACESAC_88",29,44,1,3,23.8,0.108,0.105,0.28,0.21,2019-11-19,NA,NA,NA,0.0073,"","24.45",1,0,66.1,0,1,"ACESAC",15,0.245,0.1065,163,139.2,1.76005747126437,42.3,142,323,302,278.2,43.1632653061224,NA,NA
"ACESAC_98",46,53,0,3,20.1,0.089,0.094,0.22,0.29,2019-11-26,NA,NA,NA,0,"","19.4",1,0,57.9,0,1,"ACESAC",7,0.255,0.0915,163,142.9,1.78446466060182,37.8,142,330,309,288.9,42.4719101123595,NA,NA
"ACESAC_108",35,49,1,3,33.5,0.095,0.094,0.36,0.33,2019-11-01,17.624,47.303,78.7,0.0078,"","25",1.6,0,71.1,0,1,"ACESAC",14,0.345,0.0945,163,129.5,2.66409266409266,37.6,142,305,284,250.5,40.4301075268817,18.0439121756487,NA
"ACESAC_118",32,44,0,3,27,0.1,0.122,0.34,0.44,NA,NA,NA,NA,0.0095,"","26.75",-0.4,0,45.5,0,1,"ACESAC",12,0.39,0.111,163,136,2.86764705882353,18.5,142,NA,NA,NA,18.8775510204082,NA,NA
"ACESAC_128",42,50,1,3,28.8,0.122,0.117,0.36,0.47,NA,NA,NA,NA,0.0065,"","23.65",1.9,0,51.6,0,1,"ACESAC",8,0.415,0.1195,163,134.2,3.09239940387481,22.8,142,NA,NA,NA,24.7826086956522,NA,NA
"ACESAC_138",32,42,0,3,33,0.097,0.099,0.33,0.31,2019-11-19,NA,NA,NA,0.004,"","20.9",2.2,0,75,0,1,"ACESAC",10,0.32,0.098,163,130,2.46153846153846,42,142,323,302,269,42,NA,NA
"ACESAC_148",29,56,1,3,31.1,0.097,0.093,0.43,0.46,2019-11-15,NA,NA,80.6,0.0045,"","21.4",-0.6,1,53.3,0,1,"ACESAC",27,0.445,0.095,163,131.9,3.3737680060652,22.2,142,319,298,266.9,25.8139534883721,18.5462720119895,NA
"ACESAC_158",39,60,0,3,19,0.103,0.093,0.29,0.32,NA,NA,NA,NA,0.0092,"","26.45",0,0,54.3,0,1,"ACESAC",21,0.305,0.098,163,144,2.11805555555556,35.3,142,NA,NA,NA,43.0487804878049,NA,NA
"ACESAC_168",39,53,1,3,24.3,0.09,0.094,0.22,0.31,2019-11-26,NA,NA,NA,0,"","19.75",0,0,49.6,0,1,"ACESAC",14,0.265,0.092,163,138.7,1.91059841384283,25.3,142,330,309,284.7,28.4269662921348,NA,NA
"ALNRUG_14",29,43,0,1,30,0.162,0.119,0.36,0.35,NA,NA,NA,NA,0.0138,"0.01","30.975",7.4,0,93.9,0,0,"ALNRUG",14,0.355,0.1405,176,146,2.43150684931507,63.9,176,NA,NA,NA,48.0451127819549,NA,-0.00285468573594565
"ALNRUG_24",29,50,1,1,31.8,0.186,0.172,0.39,0.35,NA,NA,NA,NA,0.023,"-0.01","39.175",3.5,1,121.8,0,0,"ALNRUG",21,0.37,0.179,176,144.2,2.56588072122053,90,176,NA,NA,NA,71.4285714285714,NA,-0.00176780748125475
"ALNRUG_34",29,48,0,1,20.2,0.095,0.085,0.33,0.31,NA,NA,NA,NA,0.0161,"0.02","33.125",10.7,1,70.6,0,0,"ALNRUG",19,0.32,0.09,176,155.8,2.05391527599486,50.4,176,NA,NA,NA,39.375,NA,-0.00339812486329109
"ALNRUG_44",24,45,1,1,29.4,0.085,0.084,0.53,0.34,2019-11-26,NA,NA,NA,0.0162,"0.07","33.225",6.1,1,84.7,0,0,"ALNRUG",21,0.435,0.0845,176,146.6,2.96725784447476,55.3,176,330,330,300.6,42.2137404580153,NA,-0.00611532050001834
"ALNRUG_54",24,50,0,1,32.6,0.151,0.161,0.41,0.4,NA,NA,NA,NA,0.0162,"0.03","33.225",3.1,0,57.7,0,0,"ALNRUG",26,0.405,0.156,176,143.4,2.82426778242678,25.1,176,NA,NA,NA,19.9206349206349,NA,-0.00394156399063654
"ALNRUG_64",24,50,1,1,32.2,0.193,0.119,0.57,0.41,NA,NA,NA,NA,0.0212,"0.09","37.625",4.1,1,57.1,0,0,"ALNRUG",26,0.49,0.156,176,143.8,3.40751043115438,24.9,176,NA,NA,NA,19.7619047619048,NA,-0.00720219875470924
"ALNRUG_74",22,45,0,1,33.3,0.143,0.218,0.28,0.35,NA,NA,NA,NA,0.034,"-0.12","47.85",2.6,1,46.2,0,0,"ALNRUG",23,0.315,0.1805,176,142.7,2.20742817098809,12.9,176,NA,NA,NA,9.84732824427481,NA,0.0042100229195452
"ALNRUG_84",29,48,1,1,35.2,0.14,0.153,0.38,0.44,2019-11-26,NA,NA,NA,0.0199,"0.05","36.5",14.3,0,102.2,0,0,"ALNRUG",19,0.41,0.1465,176,140.8,2.91193181818182,67,176,330,330,294.8,52.34375,NA,-0.00502844224532744
"ALNRUG_94",27,45,0,1,28.9,0.242,0.168,0.35,0.36,NA,NA,NA,NA,0.0168,"-0.22","33.725",1,0,77.2,0,0,"ALNRUG",18,0.355,0.205,176,147.1,2.41332426920462,48.3,176,NA,NA,NA,36.8702290076336,NA,0.00964441419299969
"ALNRUG_104",41,64,1,1,36.8,0.105,0.118,0.32,0.38,NA,NA,NA,NA,0.0123,"0.05","29.5",-1,1,68.5,0,0,"ALNRUG",23,0.35,0.1115,176,139.2,2.51436781609195,31.7,176,NA,NA,NA,28.3035714285714,NA,-0.00502844224532744
"ALNRUG_114",20,43,0,1,52.4,0.122,0.155,0.38,0.43,NA,NA,NA,NA,0.0261,"0.01","41.275",11.3,0,67.1,0,0,"ALNRUG",23,0.405,0.1385,176,123.6,3.27669902912621,14.7,176,NA,NA,NA,11.0526315789474,NA,-0.00285468573594565
"ALNRUG_124",NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","#DIV/0!",0,NA,NA,0,0,"ALNRUG",NA,NA,NA,176,NA,NA,NA,176,NA,NA,NA,NA,NA,NA
"ALNRUG_134",20,45,0,1,26.2,0.256,0.313,0.68,0.34,NA,NA,NA,NA,0.028,"-0.02","43.225",9.8,0,61.6,0,0,"ALNRUG",25,0.51,0.2845,176,149.8,3.4045393858478,35.4,176,NA,NA,NA,27.0229007633588,NA,-0.0012243683539093
"ALNRUG_144",22,45,1,1,32.2,0.156,0.17,0.4,0.41,NA,NA,NA,NA,0.0246,"0.02","40.5",7.8,1,92.5,0,0,"ALNRUG",23,0.405,0.163,176,143.8,2.81641168289291,60.3,176,NA,NA,NA,46.030534351145,NA,-0.00339812486329109
"ALNRUG_154",22,43,0,1,21.6,0.188,0.169,0.3,0.39,NA,NA,NA,NA,0.0213,"0.05","37.725",11.6,0,81.4,0,0,"ALNRUG",21,0.345,0.1785,176,154.4,2.23445595854922,59.8,176,NA,NA,NA,44.9624060150376,NA,-0.00502844224532744
"ALNRUG_164",14,48,1,1,31.6,0.122,0.14,0.29,0.17,NA,NA,NA,NA,0.0163,"0.06","33.35",2.2,1,80.1,0,0,"ALNRUG",34,0.23,0.131,176,144.4,1.59279778393352,48.5,176,NA,NA,NA,37.890625,NA,-0.00557188137267289
"ALNRUG_16",35,56,0,2,46.5,0.158,0.182,0.33,0.39,NA,NA,NA,NA,NA,"","40.25",12.7,0,79.3,1,0,"ALNRUG",21,0.36,0.17,177,130.5,2.75862068965517,32.8,177,NA,NA,NA,27.1074380165289,NA,NA
"ALNRUG_26",23,53,1,2,17.1,0.141,0.14,0.3,0.26,NA,NA,NA,NA,NA,"","28.3",7.5,0,35.9,1,0,"ALNRUG",30,0.28,0.1405,177,159.9,1.75109443402126,18.8,177,NA,NA,NA,15.1612903225806,NA,NA
"ALNRUG_36",21,40,0,2,36.4,0.241,0.205,0.36,0.17,NA,NA,NA,NA,0.0218,"","38.125",5.3,1,72.1,1,0,"ALNRUG",19,0.265,0.223,177,140.6,1.88477951635846,35.7,177,NA,NA,NA,26.0583941605839,NA,NA
"ALNRUG_46",30,46,1,2,28.7,0.158,0.157,0.34,0.3,NA,NA,NA,NA,0.0198,"","36.4",8.7,0,53.9,1,0,"ALNRUG",16,0.32,0.1575,177,148.3,2.1577882670263,25.2,177,NA,NA,NA,19.236641221374,NA,NA
"ALNRUG_56",21,37,0,2,36.6,0.142,0.202,0.35,0.38,NA,NA,NA,NA,0.0206,"","31.7",2.9,0,61.1,1,0,"ALNRUG",16,0.365,0.172,177,140.4,2.5997150997151,24.5,177,NA,NA,NA,17.5,NA,NA
"ALNRUG_66",21,51,1,2,32.2,0.136,0.152,0.29,0.21,NA,NA,NA,NA,0.0199,"","36.5",-1.3,1,48.1,1,0,"ALNRUG",30,0.25,0.144,177,144.8,1.72651933701657,15.9,177,NA,NA,NA,12.6190476190476,NA,NA
"ALNRUG_76",NA,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","#DIV/0!",0,NA,NA,1,0,"ALNRUG",NA,NA,NA,177,NA,NA,NA,177,NA,NA,NA,NA,NA,NA
"ALNRUG_86",25,43,1,2,25.4,0.133,0.144,0.24,0.25,NA,NA,NA,NA,0.0172,"","34.175",8.4,1,60.5,1,0,"ALNRUG",18,0.245,0.1385,177,151.6,1.61609498680739,35.1,177,NA,NA,NA,26.1940298507463,NA,NA
"ALNRUG_96",21,40,0,2,33.8,0.113,0.165,0.45,0.39,2019-11-26,NA,NA,NA,0.0149,"","32",3.1,0,73.8,1,0,"ALNRUG",19,0.42,0.139,177,143.2,2.93296089385475,40,177,330,330,296.2,29.1970802919708,NA,NA
"ALNRUG_106",40,60,1,2,27,0.127,0.179,0.21,0.37,NA,NA,NA,NA,NA,"","38.025",-0.1,1,23.5,1,0,"ALNRUG",20,0.29,0.153,177,150,1.93333333333333,-3.5,177,NA,NA,NA,-2.99145299145299,NA,NA
"ALNRUG_116",21,40,0,2,27,0.115,0.129,0.26,0.29,NA,NA,NA,NA,0.014,"","31.15",5.4,0,77.3,1,0,"ALNRUG",19,0.275,0.122,177,150,1.83333333333333,50.3,177,NA,NA,NA,36.7153284671533,NA,NA
"ALNRUG_126",28,51,1,2,28.6,0.155,0.152,0.29,0.32,2019-11-26,NA,NA,NA,0.0202,"","36.775",5.7,1,50.2,1,0,"ALNRUG",23,0.305,0.1535,177,148.4,2.05525606469003,21.6,177,330,330,301.4,17.1428571428571,NA,NA
"ALNRUG_136",21,40,0,2,20,0.13,0.26,0.21,0.25,NA,NA,NA,NA,0.0196,"","36.25",8.7,0,62.9,1,0,"ALNRUG",19,0.23,0.195,177,157,1.46496815286624,42.9,177,NA,NA,NA,31.3138686131387,NA,NA
"ALNRUG_146",21,43,1,2,25.4,0.147,0.153,0.35,0.26,2019-11-15,NA,NA,NA,0.0154,"","32.475",3.3,1,62.8,1,0,"ALNRUG",22,0.305,0.15,177,151.6,2.01187335092348,37.4,177,319,319,293.6,27.910447761194,NA,NA
"ALNRUG_156",25,43,0,2,30.4,0.13,0.145,0.26,0.25,NA,NA,NA,NA,0.019,"","35.7",8.7,0,62.6,1,0,"ALNRUG",18,0.255,0.1375,177,146.6,1.73942701227831,32.2,177,NA,NA,NA,24.0298507462687,NA,NA
"ALNRUG_166",21,43,1,2,25.5,0.127,0.156,0.31,0.27,NA,NA,NA,NA,0.02,"","36.625",16.5,0,71.2,1,0,"ALNRUG",22,0.29,0.1415,177,151.5,1.91419141914191,45.7,177,NA,NA,NA,34.1044776119403,NA,NA
"ALNRUG_18",46,NA,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","#DIV/0!",0,NA,NA,0,1,"ALNRUG",NA,NA,NA,163,NA,NA,NA,142,NA,NA,NA,NA,NA,NA
"ALNRUG_28",21,39,1,3,29,0.135,0.136,0.29,0.33,NA,NA,NA,NA,0.0202,"","36.825",1.2,0,51.5,0,1,"ALNRUG",18,0.31,0.1355,163,134,2.3134328358209,22.5,142,NA,NA,NA,21.8446601941748,NA,NA
"ALNRUG_38",16,32,0,3,25.4,0.123,0.137,0.22,0.29,NA,NA,NA,NA,0.0205,"","37.075",15,0,67.9,0,1,"ALNRUG",16,0.255,0.13,163,137.6,1.8531976744186,42.5,142,NA,NA,NA,38.6363636363636,NA,NA
"ALNRUG_48",16,53,1,3,22,0.142,0.127,0.22,0.26,NA,NA,NA,NA,0.0202,"","42.375",8.4,0,64.8,0,1,"ALNRUG",37,0.24,0.1345,163,141,1.70212765957447,42.8,142,NA,NA,NA,48.0898876404494,NA,NA
"ALNRUG_58",18,32,0,3,35.4,0.135,0.14,0.31,0.28,NA,NA,NA,NA,0.021,"","37.475",9.9,0,66.4,0,1,"ALNRUG",14,0.295,0.1375,163,127.6,2.31191222570533,31,142,NA,NA,NA,28.1818181818182,NA,NA
"ALNRUG_68",NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","#DIV/0!",0,NA,NA,0,1,"ALNRUG",NA,NA,NA,163,NA,NA,NA,142,NA,NA,NA,NA,NA,NA
"ALNRUG_78",NA,NA,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","#DIV/0!",0,NA,NA,0,1,"ALNRUG",NA,NA,NA,163,NA,NA,NA,142,NA,NA,NA,NA,NA,NA
"ALNRUG_88",23,37,1,3,31.3,0.121,0.126,0.37,0.28,NA,NA,NA,NA,0.0171,"","34.05",2.3,1,73.2,0,1,"ALNRUG",14,0.325,0.1235,163,131.7,2.46772968868641,41.9,142,NA,NA,NA,39.9047619047619,NA,NA
"ALNRUG_98",18,35,0,3,29.1,0.146,0.155,0.3,0.37,NA,NA,NA,NA,0.0215,"","37.925",7.5,0,51.1,0,1,"ALNRUG",17,0.335,0.1505,163,133.9,2.50186706497386,22,142,NA,NA,NA,20.5607476635514,NA,NA
"ALNRUG_108",21,35,1,3,20.2,0.113,0.134,0.34,0.21,NA,NA,NA,NA,0.0158,"","32.875",18.7,1,73.5,0,1,"ALNRUG",14,0.275,0.1235,163,142.8,1.92577030812325,53.3,142,NA,NA,NA,49.8130841121495,NA,NA
"ALNRUG_118",26,39,0,3,27.3,0.104,0.153,0.35,0.36,NA,NA,NA,NA,0.0201,"","36.725",14.8,0,80.5,0,1,"ALNRUG",13,0.355,0.1285,163,135.7,2.61606484893147,53.2,142,NA,NA,NA,51.6504854368932,NA,NA
"ALNRUG_128",21,42,1,3,25.5,0.136,0.127,0.24,0.3,NA,NA,NA,NA,0.0171,"","34.075",5.3,0,59.8,0,1,"ALNRUG",21,0.27,0.1315,163,137.5,1.96363636363636,34.3,142,NA,NA,NA,34.3,NA,NA
"ALNRUG_138",16,35,0,3,27,0.115,0.138,0.23,0.19,NA,NA,NA,NA,0.0183,"","35.15",1.8,0,90.8,0,1,"ALNRUG",19,0.21,0.1265,163,136,1.54411764705882,63.8,142,NA,NA,NA,59.6261682242991,NA,NA
"ALNRUG_148",18,42,1,3,28.3,0.107,0.124,0.29,0.24,NA,NA,NA,NA,0.0149,"","32.025",13.1,0,78.8,0,1,"ALNRUG",24,0.265,0.1155,163,134.7,1.96733481811433,50.5,142,NA,NA,NA,50.5,NA,NA
"ALNRUG_158",21,39,0,3,33.1,0.124,0.197,0.35,0.28,NA,NA,NA,NA,0.0246,"","40.525",4.8,0,65.1,0,1,"ALNRUG",18,0.315,0.1605,163,129.9,2.42494226327945,32,142,NA,NA,NA,31.0679611650485,NA,NA
"ALNRUG_168",26,42,1,3,23.4,0.161,0.152,0.4,0.4,NA,NA,NA,NA,0.0194,"","36.1",13.4,1,90.2,0,1,"ALNRUG",16,0.4,0.1565,163,139.6,2.86532951289398,66.8,142,NA,NA,NA,66.8,NA,NA
"BETPAP_14",24,43,0,1,40.2,0.169,0.184,0.31,0.3,2019-08-30,2.8668,13.93,42.1,0.0111,"-0.05","28.325",2.2,NA,43.4,0,0,"BETPAP",19,0.305,0.1765,176,135.8,2.2459499263623,3.2,176,242,242,201.8,2.40601503759398,0.941526263627353,0.000405949028127051
"BETPAP_24",13,31,1,1,33.9,0.158,0.208,0.2,0.3,2019-11-04,7.673,18.504,67,0.0067,"-0.02","23.825",2.8,1,36.2,0,0,"BETPAP",18,0.25,0.183,176,142.1,1.75932441942294,2.3,176,308,308,274.1,1.58620689655173,12.0758847136082,-0.0012243683539093
