"id","budburst","leafout","tx","chill","lo.ht","thick1","thick2","tough1","tough2","budset","shoots","roots","ht.final","mg.cm2","phenol","chlavg","ht.diff","meristem","chill1","chill2","species","dvr","tough","thick","tough.date","tough.age","bset","budsetdoy","gslength","rgr_final","folin","species.name","drought","drought1","drought2"
"SALPUR_28",9,25,1,3,24.1,0.12,0.119,0.52,0.53,NA,NA,NA,NA,0.0172,"","34.125",30.9,1,0,1,"SALPUR",16,0.525,0.1195,163,138.9,NA,NA,NA,NA,NA,"Salix purpurea",0,0,0
"SALPUR_38",9,25,0,3,21.2,0.135,0.165,0.65,0.68,NA,NA,NA,NA,0.0225,"","38.725",45.1,1,0,1,"SALPUR",16,0.665,0.15,163,141.8,NA,NA,NA,NA,NA,"Salix purpurea",0,0,0
"SALPUR_48",9,23,1,3,26,0.129,0.109,0.45,0.35,NA,NA,NA,NA,0.0259,"","41.575",51.9,1,0,1,"SALPUR",14,0.4,0.119,163,137,NA,NA,NA,NA,NA,"Salix purpurea",0,0,0
"SALPUR_58",9,21,0,3,25.6,0.111,0.11,0.46,0.44,NA,NA,NA,NA,0.0224,"","38.675",39.6,1,0,1,"SALPUR",12,0.45,0.1105,163,137.4,NA,NA,NA,NA,NA,"Salix purpurea",0,0,0
"SALPUR_68",9,23,1,3,27.4,0.077,0.142,0.61,0.35,NA,NA,NA,NA,0.0227,"","38.925",43.2,1,0,1,"SALPUR",14,0.48,0.1095,163,135.6,NA,NA,NA,NA,NA,"Salix purpurea",0,0,0
"SALPUR_78",11,23,0,3,27.4,0.15,0.164,0.52,0.43,NA,NA,NA,NA,0.0302,"","44.925",55.3,1,0,1,"SALPUR",12,0.475,0.157,163,135.6,NA,NA,NA,NA,NA,"Salix purpurea",0,0,0
"SALPUR_88",4,21,1,3,18.2,0.135,0.144,0.65,0.44,NA,NA,NA,NA,0.0224,"","38.625",59.3,1,0,1,"SALPUR",17,0.545,0.1395,163,144.8,NA,NA,NA,NA,NA,"Salix purpurea",0,0,0
"SALPUR_98",11,21,0,3,21,0.147,0.157,0.46,0.59,NA,NA,NA,NA,0.0242,"","40.15",59.6,1,0,1,"SALPUR",10,0.525,0.152,163,142,NA,NA,NA,NA,NA,"Salix purpurea",0,0,0
"SALPUR_108",9,25,1,3,34,0.133,0.154,0.58,0.51,NA,NA,NA,NA,0.0142,"","31.4",43.5,1,0,1,"SALPUR",16,0.545,0.1435,163,129,NA,NA,NA,NA,NA,"Salix purpurea",0,0,0
"SALPUR_118",9,23,0,3,25.4,0.164,0.174,0.59,0.43,NA,NA,NA,NA,0.0287,"","43.8",58.6,1,0,1,"SALPUR",14,0.51,0.169,163,137.6,NA,NA,NA,NA,NA,"Salix purpurea",0,0,0
"SALPUR_128",9,23,1,3,32.6,0.146,0.191,0.52,0.49,NA,NA,NA,NA,0.0283,"","43.475",81.3,1,0,1,"SALPUR",14,0.505,0.1685,163,130.4,NA,NA,NA,NA,NA,"Salix purpurea",0,0,0
"SALPUR_138",7,21,0,3,28.2,0.155,0.181,0.64,0.87,NA,NA,NA,NA,0.0312,"","45.7",46.4,1,0,1,"SALPUR",14,0.755,0.168,163,134.8,NA,NA,NA,NA,NA,"Salix purpurea",0,0,0
