"id","budburst","leafout","tx","chill","lo.ht","thick1","thick2","tough1","tough2","budset","shoots","roots","ht.final","chill1","chill2","species","dvr","tough","tough.date","tough.age","bset","budsetdoy","gslength","rgr_final","thick"
"ALNRUG_64",24,50,1,1,32.2,0.193,0.119,0.57,0.41,NA,NA,NA,NA,0,0,"ALNRUG",26,0.49,176,143.8,NA,NA,NA,NA,0.156
"ALNRUG_74",22,45,0,1,33.3,0.143,0.218,0.28,0.35,NA,NA,NA,NA,0,0,"ALNRUG",23,0.315,176,142.7,NA,NA,NA,NA,0.1805
"ALNRUG_84",29,48,1,1,35.2,0.14,0.153,0.38,0.44,NA,NA,NA,NA,0,0,"ALNRUG",19,0.41,176,140.8,NA,NA,NA,NA,0.1465
"ALNRUG_94",27,45,0,1,28.9,0.242,0.168,0.35,0.36,NA,NA,NA,NA,0,0,"ALNRUG",18,0.355,176,147.1,NA,NA,NA,NA,0.205
"ALNRUG_104",41,64,1,1,36.8,0.105,0.118,0.32,0.38,NA,NA,NA,NA,0,0,"ALNRUG",23,0.35,176,139.2,NA,NA,NA,NA,0.1115
"ALNRUG_114",20,43,0,1,52.4,0.122,0.155,0.38,0.43,NA,NA,NA,NA,0,0,"ALNRUG",23,0.405,176,123.6,NA,NA,NA,NA,0.1385
"ALNRUG_124",NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"ALNRUG",NA,NA,176,NA,NA,NA,NA,NA,NA
"ALNRUG_134",20,45,0,1,26.2,0.256,0.313,0.68,0.34,NA,NA,NA,NA,0,0,"ALNRUG",25,0.51,176,149.8,NA,NA,NA,NA,0.2845
"ALNRUG_144",22,45,1,1,32.2,0.156,0.17,0.4,0.41,NA,NA,NA,NA,0,0,"ALNRUG",23,0.405,176,143.8,NA,NA,NA,NA,0.163
"ALNRUG_154",22,43,0,1,21.6,0.188,0.169,0.3,0.39,NA,NA,NA,NA,0,0,"ALNRUG",21,0.345,176,154.4,NA,NA,NA,NA,0.1785
"ALNRUG_164",14,48,1,1,31.6,0.122,0.14,0.29,0.17,NA,NA,NA,NA,0,0,"ALNRUG",34,0.23,176,144.4,NA,NA,NA,NA,0.131
"ALNRUG_16",35,56,0,2,46.5,0.158,0.182,0.33,0.39,NA,NA,NA,NA,1,0,"ALNRUG",21,0.36,177,130.5,NA,NA,NA,NA,0.17
"ALNRUG_26",23,53,1,2,17.1,0.141,0.14,0.3,0.26,NA,NA,NA,NA,1,0,"ALNRUG",30,0.28,177,159.9,NA,NA,NA,NA,0.1405
"ALNRUG_36",21,40,0,2,36.4,0.241,0.205,0.36,0.17,NA,NA,NA,NA,1,0,"ALNRUG",19,0.265,177,140.6,NA,NA,NA,NA,0.223
"ALNRUG_46",30,46,1,2,28.7,0.158,0.157,0.34,0.3,NA,NA,NA,NA,1,0,"ALNRUG",16,0.32,177,148.3,NA,NA,NA,NA,0.1575
"ALNRUG_56",21,37,0,2,36.6,0.142,0.202,0.35,0.38,NA,NA,NA,NA,1,0,"ALNRUG",16,0.365,177,140.4,NA,NA,NA,NA,0.172
"ALNRUG_66",21,51,1,2,32.2,0.136,0.152,0.29,0.21,NA,NA,NA,NA,1,0,"ALNRUG",30,0.25,177,144.8,NA,NA,NA,NA,0.144
"ALNRUG_76",NA,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,"ALNRUG",NA,NA,177,NA,NA,NA,NA,NA,NA
