id,bb,lo,lo.ht,start,frz,,onemonth.ht,Chl1,Chl2,Chl3,Chl4,ChlAvg,On or Before 2/19,,60dayheight,chl1,chl2,chl3,chl4,,,chlavg,ht.diff,tx_chlavg,tx_htdiff,mg/cm2
BETPOP_34,1/9/19,1/30/19,60.5,12/24/18,,,,,,,,,,,62.6,28,31,33.3,40.6,,,33.225,2.1,,,0.0162
BETPOP_44,1/16/19,2/1/19,56.5,12/24/18,1/23/19,Damage,,,,,,,,,65.8,37.3,40,33.6,28.3,,,34.8,9.3,,,0.0179
BETPOP_54,1/16/19,2/1/19,53.8,12/24/18,,,,,,,,,,,57.6,29.1,31.3,29.2,31.9,,,30.375,3.8,,,0.0132
BETPOP_64,1/14/19,2/1/19,49.4,12/24/18,1/18/19,,,,,,,,,,54.3,35.5,28.3,28,30.6,,,30.6,4.9,,,0.0134
BETPOP_74,1/14/19,1/25/19,39.4,12/24/18,,,,,,,,,,,46.8,29.1,26.8,29.4,25.9,,,27.8,7.4,,,0.0105
BETPOP_84,1/21/19,2/4/19,45.1,12/24/18,1/25/19,,,,,,,,,,,,,,,,,#DIV/0!,-45.1,,,
BETPOP_94,1/11/19,2/4/19,46.2,12/24/18,,,,,,,,,,,,,,,,,,#DIV/0!,-46.2,,,
BETPOP_104,1/18/19,2/4/19,44.8,12/24/18,1/23/19,,,,,,,,,,,,,,,,,#DIV/0!,-44.8,,,
BETPOP_114,1/14/19,2/1/19,55.7,12/24/18,,,,,,,,,,,59.2,35.2,20.3,35.4,26.1,,,29.25,3.5,,,0.012
BETPOP_124,1/11/19,2/1/19,37.1,12/24/18,1/23/19,,,,,,,,,,45,41.4,39.7,51.4,38,,,42.625,7.9,,,0.0272
BETPOP_134,1/14/19,1/28/19,52.8,12/24/18,,,,,,,,,,,58.3,36.9,29.7,31.5,28.5,,,31.65,5.5,,,0.0145
BETPOP_144,1/11/19,2/1/19,43.8,12/24/18,1/18/19,,,,,,,,,,56.8,39.4,37.7,38.9,37,,,38.25,13,,,0.0219
BETPOP_154,1/9/19,1/28/19,51.7,12/24/18,,,,,,,,,,,63.2,27.9,31.2,31.4,34.7,,,31.3,11.5,,,0.0141
BETPOP_164,1/18/19,2/4/19,47,12/24/18,1/25/19,,,,,,,,,,,,,,,,,#DIV/0!,-47,,,
BETPOP_16,1/21/19,2/8/19,50.2,1/7/19,,,,,,,,,all before,,,,,,,,,#DIV/0!,-50.2,,,
BETPOP_26,1/30/19,2/13/19,48.8,1/7/19,2/4/19,,,,,,,,,,,,,,,,,#DIV/0!,-48.8,,,
BETPOP_36,1/23/19,2/8/19,36,1/7/19,,,,,,,,,,,,,,,,,,#DIV/0!,-36,,,
BETPOP_46,1/25/19,2/16/19,51.4,1/7/19,2/4/19,,,,,,,,,,,,,,,,,#DIV/0!,-51.4,,,
BETPOP_56,1/21/19,2/6/19,36.2,1/7/19,,,,,,,,,,,,,,,,,,#DIV/0!,-36.2,,,
BETPOP_66,1/30/19,2/13/19,54.8,1/7/19,2/4/19,,,,,,,,,,,,,,,,,#DIV/0!,-54.8,,,
BETPOP_76,1/25/19,2/11/19,59.1,1/7/19,,,,,,,,,,,,,,,,,,#DIV/0!,-59.1,,,
BETPOP_86,1/21/19,2/8/19,46,1/7/19,1/28/19,,,,,,,,,,,,,,,,,#DIV/0!,-46,,,
BETPOP_96,1/25/19,2/8/19,51.3,1/7/19,,,,,,,,,,,,,,,,,,#DIV/0!,-51.3,,,
BETPOP_106,1/23/19,2/8/19,34.2,1/7/19,2/1/19,,,,,,,,,,,,,,,,,#DIV/0!,-34.2,,,
BETPOP_116,1/23/19,2/8/19,43.6,1/7/19,,,,,,,,,,,,,,,,,,#DIV/0!,-43.6,,,
BETPOP_126,2/1/19,2/16/19,50,1/7/19,2/6/19,,,,,,,,,,,,,,,,,#DIV/0!,-50,,,
BETPOP_136,1/25/19,2/8/19,46.2,1/7/19,,,,,,,,,,,,,,,,,,#DIV/0!,-46.2,,,
BETPOP_146,1/25/19,2/8/19,47.4,1/7/19,2/1/19,,,,,,,,,,,,,,,,,#DIV/0!,-47.4,,,
BETPOP_156,1/23/19,2/8/19,56.8,1/7/19,,,,,,,,,,,,,,,,,,#DIV/0!,-56.8,,,
BETPOP_166,2/1/19,2/13/19,53.4,1/7/19,2/4/19,,,,,,,,,,,,,,,,,#DIV/0!,-53.4,,,
BETPOP_18,2/6/19,2/19/19,51.8,1/21/19,,,,,,,,,"8 budburst; 3 cont, 5 tx",,,,,,,,,#DIV/0!,-51.8,,,
BETPOP_28,2/8/19,2/22/19,54.1,1/21/19,2/11/19,,,,,,,,all frz before,,,,,,,,,#DIV/0!,-54.1,,,
BETPOP_38,2/11/19,2/22/19,46.6,1/21/19,,,,,,,,,,,,,,,,,,#DIV/0!,-46.6,,,
BETPOP_48,2/11/19,2/22/19,47.9,1/21/19,2/13/19,,,,,,,,,,,,,,,,,#DIV/0!,-47.9,,,
BETPOP_58,2/6/19,2/19/19,41.4,1/21/19,,,,,,,,,,,,,,,,,,#DIV/0!,-41.4,,,
BETPOP_68,2/8/19,2/22/19,53.4,1/21/19,2/13/19,,,,,,,,,,,,,,,,,#DIV/0!,-53.4,,,
BETPOP_78,2/4/19,2/16/19,51.6,1/21/19,,,,,,,,,,,,,,,,,,#DIV/0!,-51.6,,,
BETPOP_88,2/4/19,2/27/19,50.6,1/21/19,2/8/19,,,,,,,,,,,,,,,,,#DIV/0!,-50.6,,,
BETPOP_98,2/11/19,2/22/19,54.7,1/21/19,,,,,,,,,,,,,,,,,,#DIV/0!,-54.7,,,
BETPOP_108,2/6/19,2/22/19,55.2,1/21/19,2/11/19,,,,,,,,,,,,,,,,,#DIV/0!,-55.2,,,
BETPOP_118,2/4/19,2/16/19,49.8,1/21/19,,,,,,,,,,,,,,,,,,#DIV/0!,-49.8,,,
BETPOP_128,2/6/19,2/19/19,51.6,1/21/19,2/11/19,,,,,,,,,,,,,,,,,#DIV/0!,-51.6,,,
BETPOP_138,2/11/19,2/19/19,53.7,1/21/19,,,,,,,,,,,,,,,,,,#DIV/0!,-53.7,,,
BETPOP_148,2/6/19,2/19/19,46.3,1/21/19,2/11/19,,,,,,,,,,,,,,,,,#DIV/0!,-46.3,,,
BETPOP_158,2/4/19,2/16/19,49,1/21/19,,,,,,,,,,,,,,,,,,#DIV/0!,-49,,,
BETPOP_168,2/6/19,2/22/19,46.5,1/21/19,2/11/19,,,,,,,,,,,,,,,,,#DIV/0!,-46.5,,,
CORRAC_14,1/7/19,1/21/19,55.8,12/24/18,,,60.4,35,37.2,32,30.8,33.75,all before,,60.9,26.7,26.7,24,30.2,,,26.9,5.1,#DIV/0!,-8.175,0.0096
CORRAC_24,1/9/19,1/23/19,57.6,12/24/18,1/14/19,,,,,,,,,,57.1,29.4,37.2,30.3,25,22.7,25.5,28.35,-0.5,#DIV/0!,-16.3375,0.0111
CORRAC_34,1/7/19,1/25/19,61.1,12/24/18,,,,,,,,,,,62.7,32.5,31.4,31.9,32.5,,,32.075,1.6,,,0.015
CORRAC_44,1/23/19,2/8/19,31.8,12/24/18,1/28/19,,,,,,,,,,,,,,,,,#DIV/0!,-31.8,,,
CORRAC_54,1/7/19,1/18/19,34.2,12/24/18,,,43.4,32.4,35.4,32.7,37,34.375,,,47.9,29.8,33.3,25.9,31.2,,,30.05,13.7,,,0.0128
